KodeRute,NamaRute,API_URL
BW6,Cagar Budaya Jakarta,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_BW6&transportType=transjakarta
BW7,Belanja Jakarta,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_BW7&transportType=transjakarta
GR1,Bundaran Senayan - Harmoni,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_GR1&transportType=transjakarta
GR2,Tanah Abang Explorer,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_GR2&transportType=transjakarta
GR3,Ragunan - Departemen Pertanian,NA
JAK-1,Tanjung Priok - Plumpang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-1&transportType=transjakarta
JAK-2,Duren Sawit - Kampung Melayu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-2&transportType=transjakarta
JAK-3,Lebak Bulus - Pondok Labu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-3&transportType=transjakarta
JAK-4,Grogol - Jembatan 2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-4&transportType=transjakarta
JAK-5,Semper - Rorotan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-5&transportType=transjakarta
JAK-6,Kampung Rambutan - Pondok Gede,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-6&transportType=transjakarta
JAK-7,Tanah Abang - Tawakal,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-7&transportType=transjakarta
JAK-8,Roxy - Benhil via Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-8&transportType=transjakarta
JAK-9,Roxy Mas - Karet,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.09&transportType=transjakarta
JAK-10,Tanah Abang - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-10&transportType=transjakarta
JAK-11,Tanah Abang - Kebayoran Lama,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-11&transportType=transjakarta
JAK-12,Tanah Abang - Kebayoran Lama via Pos Pengumben,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-12&transportType=transjakarta
JAK-13,Tanah Abang - Kota Intan via Jembatan Lima,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.13&transportType=transjakarta
JAK-14,Tanah Abang - Meruya,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-14&transportType=transjakarta
JAK-15,Tanjung Priok - Bulak Turi,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-15&transportType=transjakarta
JAK-16,PGC - Condet,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-16&transportType=transjakarta
JAK-17,Pulogadung - Senen,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-17&transportType=transjakarta
